TSRW10,MATS5se,nN,AXp-7d,NaasC,Xc-5dv,Xch-5dv,GATS4dv,AXp-4d,AATSC5are,nHBAcc,ATSC5are,ATSC5se,piPC10,AXp-3d,PEOE_VSA5,SlogP_VSA10,GGI4,SlogP_VSA1,SMILES,Lambda max (nm),Solvent,lumo,Bandgap
55.3536927,-0.240618518,2,0.038773809,4,0.016666667,0,1.200182276,0.133993709,-0.009159058,2,-0.54954349,-0.272087634,7.439559309,0.200199942,0,11.37477255,0.524444444,0,C1(/N=C\C2=CC=CC=C2)=CC=CC=C1/N=C/C3=CC=CC=C3,292,CH2Cl2,-2.3625,3.15088
65.40568352,-0.087218,6,0.032378131,4,0.162214954,0.028867513,1.044303797,0.118002311,-0.017691482,7,-0.919957064,-0.620896097,6.404737635,0.183528782,5.098681808,17.32311183,1.088333333,10.45576234,NS(C1=CC([N+]([O-])=O)=C(C=C1)NC2=NNC=N2)(=O)=O,293,CH2Cl2,-2.332,2.96268
55.3983003,-0.108381859,1,0.039472055,4,0.027777778,0,1.331583122,0.130748916,-0.018069265,5,-1.391333399,-0.823183237,6.377152028,0.207117923,0,5.687386275,0.844444444,5.316788604,O=C(OC)C(C=C1)=CC=C1NCC2=CC=C(C(OC)=O)C=C2,294.7,CH2Cl2,-2.56949,3.04952
66.57098462,0.002807325,3,0.030978451,3,0.061457793,0.02236068,1.324984296,0.113377943,-0.012934986,5,-0.582074362,0.013679923,7.849281159,0.177550731,14.99386984,0,1.080555556,0,OC1=CC(C(O)=O)=CC=C1N2N=C3C=CC=CC3=N2,303.6,CH3OH,-2.42227,2.7229
64.00667485,-0.085600737,1,0.033702902,5,0.065045577,0,1.239725026,0.124677514,-0.012814163,5,-1.601770377,-0.83099833,7.203591516,0.197478115,0,5.687386275,1.195555556,4.899909731,O=C(OC)C(C=C1)=CC=C1N(CC2=CC=C(C(OC)=O)C=C2)CC3=CC=CC=C3,304.1,CH2Cl2,-2.3858,2.9916
54.25224135,-0.067319319,1,0.034473701,2,0.067708333,0,0.957700413,0.121781531,-0.003686274,3,-0.283843133,-0.317539836,6.01566161,0.184568457,0,0,1.102222222,0,CCOC(/C(C#N)=C(C1=CC=CC=C1)\C2=CC=CC=C2)=O,304.5,CH2Cl2,-2.15562,2.70637
50.08354705,0.077254367,0,0.037101013,2,0.052704628,0,1.267855344,0.126876408,0.019793161,2,1.207382812,0.524532453,5.783825182,0.217411753,0,0,1.022222222,0,C/C(C(O)=O)=C\C1=CC=C(/C=C(C)\C(O)=O)C=C1,305.5,CH2Cl2,-2.02856,3.59469
57.95082707,-0.064800669,1,0.035265951,4,0.065045577,0,1.279669964,0.126928913,-0.0114676,5,-1.261436049,-0.630548,6.388561406,0.200771708,0,5.687386275,1.044444444,4.899909731,CCN(CC1=CC=C(C(OC)=O)C=C1)C2=CC=C(C(OC)=O)C=C2,307.9,CH2Cl2,-2.41595,3.14958
52.35596564,-0.085509939,1,0.04143779,2,0.088424488,0,1.119912019,0.138678782,-0.005800979,3,-0.66711263,-0.504997286,4.638363153,0.211640563,0,5.687386275,0.702222222,4.899909731,CN(C1=CC=C(C(OCC(CC)CCCC)=O)C=C1)C,308.8,CH2Cl2,-1.78913,3.6324
54.93534325,-0.158550592,1,0.037294114,2,0.024056261,0,1.112133091,0.134703889,-0.023883485,5,-1.839028316,-1.39054355,5.989587787,0.19770002,0,5.687386275,1.262222222,5.316788604,CC(NC1=CC=C(/C=C(C(OCC)=O)/C(OCC)=O)C=C1)=O,314.4,CH2Cl2,-2.37562,3.38586
